section,subsection,content
Course Title,,Content  Unit 1: Introduction to Design Framework                                    [8 hrs]
Objectives,,To provide knowledge of web design concepts and most recent UI/UX
Unit,Unit 1,Introduction to Design Framework                                    [8 hrs]
Unit,Unit 2,Fundamentals of JQuery                                               [8 hrs]
Unit,Unit 3,Introduction to UI/UX                                                  [8 hrs]
Unit,Unit 4,Figma Essentials                                                               [8 hrs]
Unit,Unit 5,Information Security                                                              [8 hrs]
Unit,Unit 6,Cyber Security                                                                      [7 hrs]
Unit,Unit 7,Cloud Computing
Unit,Unit 8,Internet of Things
Assessment,,is based on end semester written examination
References,,"Literature  
  1.      jQuery, jQuery UI and jQuery Mobile, Adriaan de Jonge, Pearson  
2.      Jquery and Jquery UI, Jay Balchand, Pearson  
3.      Jquery in Action, Dreamtech Press  
4.      Jumpstart Bootstrap, Syed Fazle Rahman , SPD  
5.      Extending Bootstrap, Christoffer Niska, Packt Publishing  
6.      Learning Web Development with React and Bootstrap by Harmeet Singh  
7.      UI is communication By Everett N McKay  
8.      The UX Book , By Rex Hartson and Pardha Pyla  
9.      Designing and Prototyping Interfaces with Figma – Fabio Staiano"
