url,title,content,timestamp,saved_file
https://www.srki.ac.in,Welcome to Shree Ramkrishna Institute of Computer Education and Applied Sciences,"Shree Ramkrishna Institute of Computer Education and Applied Sciences 0261-2240170,0261-2240172,7228018498,7228018499,7228018500,7228018497 7228018496 info@srki.ac.in Contact Us",2025-05-03 21:50:51,output\html\index.html
https://www.srki.ac.in/contact/,Make an inquiry,"Shree Ramkrishna Institute of Computer Education and Applied Sciences 0261-2240170,0261-2240172,7228018498,7228018499,7228018500,7228018497 7228018496 info@srki.ac.in Contact Us",2025-05-03 21:51:00,output\html\_contact_.html
https://www.srki.ac.in/,Welcome to Shree Ramkrishna Institute of Computer Education and Applied Sciences,"Shree Ramkrishna Institute of Computer Education and Applied Sciences 0261-2240170,0261-2240172,7228018498,7228018499,7228018500,7228018497 7228018496 info@srki.ac.in Contact Us",2025-05-03 21:51:09,output\html\_.html
https://www.srki.ac.in/#,Welcome to Shree Ramkrishna Institute of Computer Education and Applied Sciences,"Shree Ramkrishna Institute of Computer Education and Applied Sciences 0261-2240170,0261-2240172,7228018498,7228018499,7228018500,7228018497 7228018496 info@srki.ac.in Contact Us",2025-05-03 21:51:16,output\html\_#.html
https://www.srki.ac.in/pages/srki-constituent-college-of-sarvajanik-university-/,SRKI (Constituent college of Sarvajanik University) - Shree Ramkrishna Institute of Computer Education and Applied Sciences,"Shree Ramkrishna Institute of Computer Education and Applied Sciences 0261-2240170,0261-2240172,7228018498,7228018499,7228018500,7228018497 7228018496 info@srki.ac.in Contact Us",2025-05-03 21:51:25,output\html\_pages_srki-constituent-college-of-sarvajanik-university-_.html
https://www.srki.ac.in/pages/history/,History - Shree Ramkrishna Institute of Computer Education and Applied Sciences,"Shree Ramkrishna Institute of Computer Education and Applied Sciences 0261-2240170,0261-2240172,7228018498,7228018499,7228018500,7228018497 7228018496 info@srki.ac.in Contact Us",2025-05-03 21:51:34,output\html\_pages_history_.html
https://www.srki.ac.in/pages/vision-mission-amp-values/,"Vision, Mission & Values - Shree Ramkrishna Institute of Computer Education and Applied Sciences","Shree Ramkrishna Institute of Computer Education and Applied Sciences 0261-2240170,0261-2240172,7228018498,7228018499,7228018500,7228018497 7228018496 info@srki.ac.in Contact Us",2025-05-03 21:51:43,output\html\_pages_vision-mission-amp-values_.html
https://www.srki.ac.in/pages/chairman-s-message/,Chairman's Message - Shree Ramkrishna Institute of Computer Education and Applied Sciences,"Shree Ramkrishna Institute of Computer Education and Applied Sciences 0261-2240170,0261-2240172,7228018498,7228018499,7228018500,7228018497 7228018496 info@srki.ac.in Contact Us",2025-05-03 21:51:51,output\html\_pages_chairman-s-message_.html
https://www.srki.ac.in/pages/principal-s-message/,Principal's Message - Shree Ramkrishna Institute of Computer Education and Applied Sciences,"Shree Ramkrishna Institute of Computer Education and Applied Sciences 0261-2240170,0261-2240172,7228018498,7228018499,7228018500,7228018497 7228018496 info@srki.ac.in Contact Us",2025-05-03 21:52:00,output\html\_pages_principal-s-message_.html
https://www.srki.ac.in/pages/working-committee/,Working Committee - Shree Ramkrishna Institute of Computer Education and Applied Sciences,"Shree Ramkrishna Institute of Computer Education and Applied Sciences 0261-2240170,0261-2240172,7228018498,7228018499,7228018500,7228018497 7228018496 info@srki.ac.in Contact Us",2025-05-03 21:52:04,output\html\_pages_working-committee_.html
https://www.srki.ac.in/pages/donors/,Donors - Shree Ramkrishna Institute of Computer Education and Applied Sciences,"Shree Ramkrishna Institute of Computer Education and Applied Sciences 0261-2240170,0261-2240172,7228018498,7228018499,7228018500,7228018497 7228018496 info@srki.ac.in Contact Us",2025-05-03 21:52:13,output\html\_pages_donors_.html
https://www.srki.ac.in/pages/principals/,Principals - Shree Ramkrishna Institute of Computer Education and Applied Sciences,"Shree Ramkrishna Institute of Computer Education and Applied Sciences 0261-2240170,0261-2240172,7228018498,7228018499,7228018500,7228018497 7228018496 info@srki.ac.in Contact Us",2025-05-03 21:52:22,output\html\_pages_principals_.html
https://www.srki.ac.in/award/,Awards & Certificates - Shree Ramkrishna Institute of Computer Education and Applied Sciences,"Shree Ramkrishna Institute of Computer Education and Applied Sciences 0261-2240170,0261-2240172,7228018498,7228018499,7228018500,7228018497 7228018496 info@srki.ac.in Contact Us",2025-05-03 21:52:31,output\html\_award_.html
https://www.srki.ac.in/pages/aishe/,AISHE - Shree Ramkrishna Institute of Computer Education and Applied Sciences,"Shree Ramkrishna Institute of Computer Education and Applied Sciences 0261-2240170,0261-2240172,7228018498,7228018499,7228018500,7228018497 7228018496 info@srki.ac.in Contact Us",2025-05-03 21:52:35,output\html\_pages_aishe_.html
https://www.srki.ac.in/pages/su-syllabus/,SU SYLLABUS - Shree Ramkrishna Institute of Computer Education and Applied Sciences,"Shree Ramkrishna Institute of Computer Education and Applied Sciences 0261-2240170,0261-2240172,7228018498,7228018499,7228018500,7228018497 7228018496 info@srki.ac.in Contact Us",2025-05-03 21:52:40,output\html\_pages_su-syllabus_.html
https://www.srki.ac.in/pages/courses-offered/,Courses Offered - Shree Ramkrishna Institute of Computer Education and Applied Sciences,"Shree Ramkrishna Institute of Computer Education and Applied Sciences 0261-2240170,0261-2240172,7228018498,7228018499,7228018500,7228018497 7228018496 info@srki.ac.in Contact Us",2025-05-03 21:52:43,output\html\_pages_courses-offered_.html
https://www.srki.ac.in/pages/fees-structure/,Fees Structure - Shree Ramkrishna Institute of Computer Education and Applied Sciences,"Shree Ramkrishna Institute of Computer Education and Applied Sciences 0261-2240170,0261-2240172,7228018498,7228018499,7228018500,7228018497 7228018496 info@srki.ac.in Contact Us",2025-05-03 21:52:52,output\html\_pages_fees-structure_.html
https://www.srki.ac.in/pages/accrediation/,Accrediation - Shree Ramkrishna Institute of Computer Education and Applied Sciences,"Shree Ramkrishna Institute of Computer Education and Applied Sciences 0261-2240170,0261-2240172,7228018498,7228018499,7228018500,7228018497 7228018496 info@srki.ac.in Contact Us",2025-05-03 21:52:56,output\html\_pages_accrediation_.html
